time,ram,process,duration,ncall,nrecall,subprocesses
0.0,,~#0(<method 'rstrip' of 'bytes' objects>),0.0,4.0,4.0,"{('/Users/gkiar/code/gkiar/clowdr/env/clowdr/bin/../lib/python3.6/posixpath.py', 152, 'dirname'): (4, 4, 0.0, 0.0)}"
0.0,,~#0(<method 'bit_length' of 'int' objects>),0.0,1.0,1.0,"{('/Users/gkiar/code/gkiar/clowdr/env/clowdr/lib/python3.6/random.py', 223, '_randbelow'): (1, 1, 0.0, 0.0)}"
0.0,,~#0(<method 'items' of 'dict' objects>),0.0,6.0,6.0,"{('/Users/gkiar/code/gkiar/clowdr/env/clowdr/bin/../lib/python3.6/_collections_abc.py', 824, 'update'): (5, 5, 0.0, 0.0), ('/Users/gkiar/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/psutil/__init__.py', 862, 'children'): (1, 1, 0.0, 0.0)}"
0.0,,~#0(<method 'rfind' of 'str' objects>),0.0,1.0,1.0,"{('/Users/gkiar/code/gkiar/clowdr/env/clowdr/bin/../lib/python3.6/posixpath.py', 102, 'split'): (1, 1, 0.0, 0.0)}"
0.0,,~#0(<built-in method posix.WIFEXITED>),0.0,5.0,5.0,"{('/usr/local/Cellar/python/3.6.4_4/Frameworks/Python.framework/Versions/3.6/lib/python3.6/subprocess.py', 1348, '_handle_exitstatus'): (4, 4, 0.0, 0.0), ('/usr/local/Cellar/python/3.6.4_4/Frameworks/Python.framework/Versions/3.6/lib/python3.6/multiprocessing/popen_fork.py', 31, 'poll'): (1, 1, 0.0, 0.0)}"
0.0,,~#0(<method 'detach' of '_socket.socket' objects>),0.0,4.0,4.0,"{('/usr/local/Cellar/python/3.6.4_4/Frameworks/Python.framework/Versions/3.6/lib/python3.6/socket.py', 419, 'detach'): (2, 2, 0.0, 0.0), ('/usr/local/Cellar/python/3.6.4_4/Frameworks/Python.framework/Versions/3.6/lib/python3.6/socket.py', 475, 'socketpair'): (2, 2, 0.0, 0.0)}"
0.0,,/Users/gkiar/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/psutil/_psosx.py#340(catch_zombie),0.0,2.0,2.0,"{('~', 0, '<built-in method builtins.next>'): (2, 2, 0.0, 0.0)}"
0.0,,~#0(<method 'disable' of '_lsprof.Profiler' objects>),0.0,1.0,1.0,{}
0.0,,/Users/gkiar/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/localExec.py#834(<listcomp>),0.0,1.0,1.0,"{('/Users/gkiar/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/localExec.py', 833, '_writeConfigurationFiles'): (1, 1, 0.0, 0.0)}"
0.0,,/Users/gkiar/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/validator.py#66(<listcomp>),0.0,1.0,1.0,"{('/Users/gkiar/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/validator.py', 16, 'validate_descriptor'): (1, 1, 0.0, 0.0)}"
1e-06,,~#0(<built-in method from_bytes>),1e-06,1.0,1.0,"{('/Users/gkiar/code/gkiar/clowdr/env/clowdr/lib/python3.6/random.py', 676, 'getrandbits'): (1, 1, 1e-06, 1e-06)}"
1e-06,,~#0(<method 'discard' of 'set' objects>),1e-06,2.0,2.0,"{('/Users/gkiar/code/gkiar/clowdr/env/clowdr/bin/../lib/python3.6/_weakrefset.py', 38, '_remove'): (1, 1, 1e-06, 1e-06), ('/usr/local/Cellar/python/3.6.4_4/Frameworks/Python.framework/Versions/3.6/lib/python3.6/multiprocessing/process.py', 118, 'join'): (1, 1, 0.0, 0.0)}"
1e-06,,~#0(<method 'rstrip' of 'str' objects>),1e-06,1.0,1.0,"{('/Users/gkiar/code/gkiar/clowdr/env/clowdr/bin/../lib/python3.6/posixpath.py', 102, 'split'): (1, 1, 1e-06, 1e-06)}"
1e-06,,~#0(<method 'rpartition' of 'str' objects>),1e-06,2.0,2.0,"{('<frozen importlib._bootstrap>', 416, 'parent'): (2, 2, 1e-06, 1e-06)}"
1e-06,,~#0(<built-in method builtins.iter>),1e-06,9.0,9.0,"{('/usr/local/Cellar/python/3.6.4_4/Frameworks/Python.framework/Versions/3.6/lib/python3.6/argparse.py', 1771, '_parse_known_args'): (4, 4, 0.0, 0.0), ('/Users/gkiar/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/jsonschema/_utils.py', 31, '__iter__'): (5, 5, 1e-06, 1e-06)}"
1e-06,,~#0(<built-in method builtins.ord>),1e-06,2.0,2.0,"{('/Users/gkiar/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/simplejson/decoder.py', 376, 'raw_decode'): (2, 2, 1e-06, 1e-06)}"
1e-06,,~#0(<built-in method posix.getuid>),1e-06,2.0,2.0,"{('/Users/gkiar/code/gkiar/clowdr/env/clowdr/lib/python3.6/site-packages/boutiques/localExec.py', 210, 'execute'): (2, 2, 1e-06, 1e-06)}"
1e-06,,~#0(<built-in method _stat.S_ISREG>),1e-06,3.0,3.0,"{('/Users/gkiar/code/gkiar/clowdr/env/clowdr/bin/../lib/python3.6/genericpath.py', 27, 'isfile'): (3, 3, 1e-06, 1e-06)}"
1e-06,,~#0(<built-in method _stat.S_ISLNK>),1e-06,11.0,11.0,"{('/Users/gkiar/code/gkiar/clowdr/env/clowdr/bin/../lib/python3.6/posixpath.py', 166, 'islink'): (11, 11, 1e-06, 1e-06)}"
1e-06,,/Users/gkiar/code/gkiar/clowdr/env/clowdr/lib/python3.6/random.py#686(seed),1e-06,1.0,1.0,"{('/Users/gkiar/code/gkiar/clowdr/env/clowdr/lib/python3.6/random.py', 87, '__init__'): (1, 1, 1e-06, 1e-06)}"
1e-06,,/usr/local/Cellar/python/3.6.4_4/Frameworks/Python.framework/Versions/3.6/lib/python3.6/argparse.py#591(<listcomp>),1e-06,8.0,8.0,"{('/usr/local/Cellar/python/3.6.4_4/Frameworks/Python.framework/Versions/3.6/lib/python3.6/argparse.py', 576, '_format_args'): (8, 8, 1e-06, 1e-06)}"
